text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description
69,69,,,sexual anatomy / sexual acts,,,1,Mild
@55,ass,,,sexual anatomy / sexual acts,,,1,Mild
@ssfcker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
@ssfucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
@ssfvcker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
@sshole,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
0ral seks,sex,,,sexual anatomy / sexual acts,,,1,Mild
0ral sex,sex,,,sexual anatomy / sexual acts,,,1.8,Strong
0rg@sm,orgasm,,,sexual anatomy / sexual acts,,,1,Mild
0rgasms,orgasm,,,sexual anatomy / sexual acts,,,1,Mild
3jakulating,ejaculation,,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.6,Strong
4r5e,arse,,,sexual anatomy / sexual acts,,,1.4,Mild
4r5ed,arse,,,sexual anatomy / sexual acts,,,1.4,Mild
4r5es,arse,,,sexual anatomy / sexual acts,,,1.4,Mild
4skin,foreskin,,,sexual anatomy / sexual acts,,,1,Mild
5h17,shit,,,bodily fluids / excrement,,,1,Mild
5h1t,shit,,,bodily fluids / excrement,,,1,Mild
5kank,skank,,,sexual orientation / gender,,,2,Strong
a_s_s,ass,,,sexual anatomy / sexual acts,,,1,Mild
abbie,abraham,,,racial / ethnic slurs,,,1.2,Mild
abeed,abeed,,,racial / ethnic slurs,,,1.8,Strong
aboe,abo,,,racial / ethnic slurs,,,1,Mild
anal,anal,,,sexual anatomy / sexual acts,,,1,Mild
anal hole,anal,,,sexual anatomy / sexual acts,,,2.2,Strong
anal hore,anal,,,sexual anatomy / sexual acts,,,2.4,Strong
anal pirate,anal,,,sexual anatomy / sexual acts,,,2.2,Strong
analingus,anal,,,sexual anatomy / sexual acts,,,1.6,Strong
analplug,anal,,,sexual anatomy / sexual acts,,,2.2,Strong
analplugs,anal,,,sexual anatomy / sexual acts,,,2,Strong
anilingus,anal,,,sexual anatomy / sexual acts,,,1.8,Strong
animal fucker,fuck,,,sexual anatomy / sexual acts,animal references,,3,Severe
anus,anus,,,sexual anatomy / sexual acts,,,1,Mild
anus plug,anus,,,sexual anatomy / sexual acts,,,2,Strong
ape shit,ape,shit,,bodily fluids / excrement,,,1.6,Strong
ape shite,ape,shit,,bodily fluids / excrement,animal references,,1.6,Strong
apeshit,ape,shit,,bodily fluids / excrement,racial / ethnic slurs,animal references,1.4,Mild
apeshite,ape,shit,,bodily fluids / excrement,racial / ethnic slurs,,1.4,Mild
ar5e,arse,,,sexual anatomy / sexual acts,,,1,Mild
ar5ehole,arse,,,sexual anatomy / sexual acts,,,1.4,Mild
arse,arse,,,sexual anatomy / sexual acts,,,1,Mild
arse gobbler,arse,,,sexual anatomy / sexual acts,,,2,Strong
arse hole,arse,,,sexual anatomy / sexual acts,,,1.2,Mild
arse-bandit,arse,,,sexual orientation / gender,,,2,Strong
arse-bandits,arse,,,sexual anatomy / sexual acts,,,2.2,Strong
arse-fucker,fuck,arse,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
arse-fuckers,fuck,arse,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
arse-hole,arse,,,sexual anatomy / sexual acts,,,1.8,Strong
arse-shagger,arse,,,sexual anatomy / sexual acts,,,2.4,Strong
arsefuck,fuck,arse,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
arsefucker,fuck,arse,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
arsehole,arse,,,sexual anatomy / sexual acts,,,1.4,Mild
arseshit,arse,shit,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
arsewipe,arse,,,sexual anatomy / sexual acts,,,1.4,Mild
ashole,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
ass,ass,,,sexual anatomy / sexual acts,,,1,Mild
ass bandit,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
ass eating boiolas,ass,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
ass eating nob jokeys,ass,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
ass fecker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
ass fuck,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
ass fucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
ass fucking boiolas,fuck,ass,boiolas,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
ass fucking nob jokeys,fuck,ass,knob,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
ass hole,ass,,,sexual anatomy / sexual acts,,,1.2,Mild
ass kisser,ass,,,sexual anatomy / sexual acts,,,1.2,Mild
ass licking,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
ass muncher,ass,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
ass-bandit,ass,,,sexual anatomy / sexual acts,,,1.8,Strong
ass-fucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
ass-fuckers,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
ass-hole,ass,,,sexual anatomy / sexual acts,,,2,Strong
asses,ass,,,sexual anatomy / sexual acts,,,1,Mild
assface,ass,,,sexual anatomy / sexual acts,,,1.6,Strong
assfck,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
assfcker,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
assfk,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
assfkcer,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
assfker,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
assfkr,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
