Agnes	Can I ever forget?’ ‘As you were then, my sister, I have often thought since, you have ever been to me. Ever pointing upward, [MASK]; ever leading me to something better; ever directing me to higher things!’
Ahab	Caught and twisted--corkscrewed in the mazes of the line, loose harpoons and lances, with all their bristling barbs and points, came flashing and dripping up to the chocks in the bows of [MASK]'s boat. Only one thing could be done.
Ahab	CHAPTER 37 Sunset The cabin; by the stern windows; [MASK] sitting alone, and gazing out. I leave a white and turbid wake; pale waters, paler cheeks, where'er I sail. The envious billows sidelong swell to whelm my track; let them; but first I pass.
Ahab	So powerfully did the whole grim aspect of [MASK] affect me, and the livid brand which streaked it, that for the first few moments I hardly noted that not a little of this overbearing grimness was owing to the barbaric white leg upon which he partly stood.
Alice	[MASK] looked up, and there stood the Queen in front of them, with her arms folded, frowning like a thunderstorm. ‘A fine day, your Majesty!’ the Duchess began in a low, weak voice.
Alice	Tell me that first, and then, if I like being that person, I’ll come up: if not, I’ll stay down here till I’m somebody else”--but, oh dear!’ cried [MASK], with a sudden burst of tears, ‘I do wish they WOULD put their heads down!
Alice	‘By-the-bye, what became of the baby?’ said the Cat. ‘I’d nearly forgotten to ask.’ ‘It turned into a pig,’ [MASK] quietly said, just as if it had come back in a natural way.
Alice	‘I wish you wouldn’t squeeze so.’ said the Dormouse, who was sitting next to her. ‘I can hardly breathe.’ ‘I can’t help it,’ said [MASK] very meekly: ‘I’m growing.’
Anne	“We were born to be good friends, [MASK]. You’ve thwarted destiny enough. I know we can help each other in many ways. You are going to keep up your studies, aren’t you? So am I. Come, I’m going to walk home with you.”
Arthur	At that moment the bottom fell out of [MASK]’s mind. His eyes turned inside out. His feet began to leak out of the top of his head. The room folded flat around him, spun around, shifted out of existence and left him sliding into his own navel.
Atticus	“If you’ll concede the necessity of going to school, we’ll go on reading every night just as we always have. Is it a bargain?” “Yes sir!” “We’ll consider it sealed without the usual formality,” [MASK] said, when he saw me preparing to spit.
Barrymore	One fact which has not been explained is the statement of [MASK] that his master’s footprints altered their character from the time that he passed the moor-gate, and that he appeared from thence onward to have been walking upon his toes.
Bartleby	Now and then, in the eagerness of dispatching pressing business, I would inadvertently summon [MASK], in a short, rapid tone, to put his finger, say, on the incipient tie of a bit of red tape with which I was about compressing some papers.
Bessie	Even for me life had its gleams of sunshine. CHAPTER V Five o'clock had hardly struck on the morning of the 19th of January, when [MASK] brought a candle into my closet and found me already up and nearly dressed.
Bigger	[MASK] relaxed and felt his heart pounding. He longed for something to happen so that the white faces would stop staring at him. Finally, the faces turned away. The coroner strode to the table and lifted the kidnap note with a slow, long, delicate, and deliberate gesture.
Blackwell	‘I think you’ll find us competitive,’ the Crosse and [MASK]’s rep contends later still, in the office. ‘Grossed up, I’d say those terms are out of competition’s reach.’ It’s not of interest; it doesn’t matter.
Bradleys	You know they even tried to dig fighting holes for the tanks? The engineers blasted them right out of the A&P parking lot. You had tanks? Dude, we had everything: tanks, [MASK], Humvees armed with everything from fifty cals to these new Vasilek heavy mortars.
Bran	he heard his own voice saying, small and far away. And his father's voice replied to him. "That is the only time a man can be brave." Now, [MASK], the crow urged. Choose. Fly or die.
